Token Symbol,Token Price V2,Diff Token Price V2,Token Price V3,Diff Token Price V3,CoinGecko Price
X,0,0,6.87421190254655e-08,-1207101,9.648799803253167e-11
WETH,1707.4272781006612,-9,1709.6608319541824,-9,1765.7330550581953
USDC,0.9982895387329668,-9,1e-06,-33,1.0033993728191815
WBTC,27240.568240036184,-345,0.00027324418961639226,-237,27099.734125299863
DAI,1.0032674066708807,-321,1.0,-93,1.0042291640963878
FRAX,0.9809235744313818,-31029,0.99801,-1065,0.9992171943835311
USDT,1.0007860237651527,-969,1e-06,-21,1.003234951559821
sETH2,0,0,1702.713228939443,-2853,1692.3263945843366
SWYF,0,0,0,0,
wstETH,53.61144632793464,-90333,1946.2245934142297,-141,1940.2895614183
,1144.932929527849,-1197,1146.0498994732818,-1197,
UNI,4.661082787696632,-189,4.640899728645745,-189,4.639397566251963
GPT,0,0,62.02017,-203541,
LINK,6.022190027573469,-261,6.008717171152111,-33,5.931985623892427
BTT,0,0,3.8693628472752704e-07,-19461,
RPL,0,0,23.7013255243285,-1401,
RLB,2.3975363152008093e-07,-66801,0.1852335702223881,-213,
GNO,105.55704868080515,-1197,104.7153633760383,-38997,
rETH2,0,0,1699.310314631345,-2949,
LDO,1.6305833323884757,-3441,1.6273327977792824,-549,
rETH,0,0,1853.2185194260935,-1053,
PEPE,8.608631888265927e-07,-489,8.591272155975583e-07,-453,
ETHM,0,0,0,0,
MNT,0,0,0.45647654585876457,-165,
WDOGE,0.06634091768665554,-121389,0,0,
GRAI,0,0,0.9843700000000002,-3765,
wNXM,31.004451969194385,-12561,31.455603037594624,-4257,
SHAUN,0,0,0.00012447320067313468,-3149613,
INST,0.5065599588801079,-824469,1.0981976423872988,-45285,1.0985788702327015
ICHI,0,0,2.02301,-2301,2.002904110447858
LUSD,1.0023091586125359,-47157,0.99975,-1713,0.9994663592743421
ZVT,0,0,0.3510381839268845,-3969,
FXS,5.658720625302874,-1065,5.793907737303927,-12477,5.831718132916088
agEUR,0,0,1.08638,-417,1.0902398080425195
BONE,1.2217147886779613,-69,1.2288192762154473,-57,0.01639871444064961
SWISE,0,0,0.07536675228401077,-41577,0.07501297908861965
BADGER,2.006382840078907,-29169,2.0700766273077833,-5037,2.0523028905365766
swETH,0,0,1751.49484738396,-2277,1745.8454148676137
MATIC,0.5808759700004105,-321,0.5800860269629022,-993,0.5751330458712712
MET,0,0,1.1046129485154748,-28005,1.0844531872290133
USDD,0,0,0.9986799999999999,-27981,0.9967966934874225
XSGD,0.6599144214945837,-879201,7.381979095242454e-07,-441,0.7403861469070157
HOPR,0,0,0.04337273302190347,-15921,0.044230926083787224
HUNT,0,0,0.2920321867518595,-40041,0.08723585328837584
SPONGE,0,0,0.00010690521802642047,-12981,
ZUSD,0,0,9.97722647458438e-07,-71265,0.838155969106444
GHO,0,0,0.9804999999999999,-345,0.9793406935274452
GLM,0.17364023149314653,-93957,0.1721844777901985,-31365,0.17378155037004103
QNT,99.77532848754747,-3921,100.76693277251877,-741,101.00807100752723
ENS,0,0,8.093277652653304,-609,8.047550982690222
